job,currency
Seismic interpreter,DJF
Toxicologist,RON
Arts administrator,XDR
Psychiatrist,SOS
Research scientist (life sciences),FJD
Licensed conveyancer,PEN
Forensic scientist,NOK
IT consultant,BGN
"Therapist, occupational",MZN
Licensed conveyancer,LSL
"Conservator, furniture",JMD
Merchant navy officer,ILS
Occupational hygienist,EGP
Hospital pharmacist,UAH
"Therapist, occupational",MWK
Hotel manager,PLN
"Therapist, music",HTG
General practice doctor,GYD
Health visitor,YER
Health and safety adviser,MRO
Television floor manager,NPR
Retail merchandiser,HUF
Investment analyst,UZS
Chief Strategy Officer,OMR
"Psychologist, counselling",MZN
"Engineer, maintenance (IT)",JMD
"Civil engineer, contracting",CNY
"Programme researcher, broadcasting/film/video",BSD
Mechanical engineer,ZWD
Veterinary surgeon,XDR
Airline pilot,KGS
Social worker,LAK
"Therapist, nutritional",SGD
"Production designer, theatre/television/film",BBD
Firefighter,MZN
Dispensing optician,AOA
Radiation protection practitioner,BDT
Analytical chemist,MWK
Technical author,ISK
Multimedia specialist,TZS
"Engineer, structural",BIF
Oceanographer,AZN
"Producer, television/film/video",GTQ
Sports administrator,CRC
Education administrator,CRC
"Engineer, site",MXN
Petroleum engineer,BOB
Naval architect,QAR
Wellsite geologist,RWF
Accounting technician,SPL
Interpreter,TTD
Physiotherapist,TRY
Chief of Staff,MXN
Quality manager,MXN
Acupuncturist,CDF
Automotive engineer,GGP
Customer service manager,TND
IT trainer,DOP
Paediatric nurse,BSD
Data scientist,OMR
Soil scientist,BAM
Technical author,ANG
Press photographer,OMR
Chief of Staff,BYR
Sub,CDF
Freight forwarder,NIO
Administrator,SVC
Comptroller,GYD
Mental health nurse,IRR
Outdoor activities/education manager,BAM
Commercial/residential surveyor,TWD
Systems analyst,ETB
"Therapist, occupational",LBP
Radio producer,BYR
"Scientist, forensic",SVC
Clinical biochemist,FKP
Health visitor,SVC
"Designer, graphic",TMT
Market researcher,PYG
"Engineer, biomedical",NIO
"Administrator, charities/voluntary organisations",TOP
Animal nutritionist,THB
Marketing executive,ALL
"Producer, radio",BHD
Microbiologist,JOD
Pharmacologist,UYU
"Scientist, forensic",ISK
Animal nutritionist,ETB
Media buyer,KES
Armed forces operational officer,MKD
"Production assistant, television",GNF
"Administrator, sports",PEN
"Designer, blown glass/stained glass",ERN
"Engineer, communications",TOP
"Engineer, aeronautical",NAD
"Teacher, English as a foreign language",AFN
"Scientist, research (physical sciences)",THB
Sports administrator,BAM
Amenity horticulturist,ILS
Wellsite geologist,KZT
Nutritional therapist,MUR
"Teacher, music",ISK
Sports therapist,KGS
Tourist information centre manager,BAM
"Scientist, research (life sciences)",ZAR
Clinical molecular geneticist,PGK
Science writer,MWK
Press photographer,MOP
"Copywriter, advertising",JOD
Environmental manager,AZN
Health promotion specialist,MZN
Exhibition designer,ALL
"Scientist, research (life sciences)",ZWD
Publishing rights manager,MNT
"Designer, ceramics/pottery",FJD
"Engineer, civil (contracting)",DOP
Water engineer,BYR
Paramedic,IQD
Chartered public finance accountant,BTN
Insurance risk surveyor,RUB
Research scientist (physical sciences),LRD
Information systems manager,SEK
Customer service manager,ANG
Engineering geologist,CZK
"Nurse, adult",PLN
Hospital pharmacist,LBP
Chief Marketing Officer,BYR
Gaffer,MAD
"Solicitor, Scotland",KHR
"Engineer, electronics",BWP
Politician's assistant,DKK
"Development worker, international aid",ANG
"Pilot, airline",IDR
Camera operator,YER
Health promotion specialist,TTD
Contracting civil engineer,BYR
"Designer, textile",PEN
Environmental education officer,SBD
"Development worker, international aid",KYD
Printmaker,LSL
Call centre manager,SOS
Tax adviser,CUP
Oceanographer,SVC
Event organiser,KHR
Air broker,AFN
Visual merchandiser,SPL
Dancer,KMF
Sub,CHF
Tourism officer,UYU
Data processing manager,JEP
Surgeon,KWD
"Engineer, site",CRC
Barrister's clerk,ISK
Senior tax professional/tax inspector,DJF
Hotel manager,SPL
Sub,MOP
Horticultural therapist,VND
Ophthalmologist,HTG
Aeronautical engineer,NPR
Agricultural engineer,KZT
Insurance account manager,LAK
Commercial horticulturist,MYR
Museum/gallery curator,UGX
"Scientist, water quality",YER
"Merchandiser, retail",ERN
Structural engineer,TND
"Programmer, systems",ZAR
Mechanical engineer,BGN
Theatre stage manager,SVC
"Programmer, systems",TND
Fitness centre manager,VND
Museum education officer,LAK
Occupational psychologist,JOD
Health service manager,CAD
Public affairs consultant,GTQ
Research scientist (maths),SCR
Metallurgist,CRC
"Buyer, retail",RUB
Land,GGP
Dancer,LSL
Education administrator,XPF
Copy,RSD
Insurance account manager,VEF
"Librarian, academic",AUD
"Psychologist, sport and exercise",JEP
Facilities manager,MXN
Bookseller,MYR
Technical author,PAB
Orthoptist,GEL
Stage manager,MWK
Plant breeder/geneticist,EUR
Network engineer,VND
Artist,AZN
Careers information officer,BRL
Accommodation manager,CAD
Event organiser,MMK
Restaurant manager,STD
Publishing copy,UYU
Best boy,BBD
"Surveyor, building control",GEL
Health service manager,BRL
Hospital doctor,UAH
Surgeon,JEP
Logistics and distribution manager,ZAR
Illustrator,TOP
"Engineer, site",TRY
Equality and diversity officer,MAD
Special effects artist,ALL
Pension scheme manager,KHR
Building surveyor,LYD
Water engineer,UAH
Community education officer,ARS
English as a foreign language teacher,GGP
Trade mark attorney,AWG
Event organiser,GNF
Communications engineer,AUD
Commissioning editor,TWD
"Sound technician, broadcasting/film/video",RWF
Occupational psychologist,GYD
Music tutor,MXN
Regulatory affairs officer,NZD
Analytical chemist,ERN
Market researcher,GYD
Community pharmacist,RWF
"Scientist, research (life sciences)",BZD
Commercial art gallery manager,HKD
Neurosurgeon,TOP
Publishing copy,FKP
"Programmer, systems",BOB
Editorial assistant,SCR
"Administrator, charities/voluntary organisations",ALL
Speech and language therapist,MXN
Dance movement psychotherapist,NOK
"Designer, fashion/clothing",HUF
"Teacher, adult education",UAH
"Social research officer, government",SZL
"Nurse, mental health",BTN
Public house manager,NIO
Government social research officer,STD
Clothing/textile technologist,SVC
Quarry manager,DJF
Geophysicist/field seismologist,BOB
"Conservator, furniture",BWP
"Teacher, adult education",TWD
Financial trader,LAK
Media buyer,XOF
Accounting technician,TTD
Commercial art gallery manager,SPL
"Engineer, control and instrumentation",MGA
Psychotherapist,MMK
Health visitor,NOK
Immigration officer,NGN
Aid worker,BYR
"Conservator, museum/gallery",KGS
"Librarian, academic",ARS
IT technical support officer,EUR
Energy manager,SHP
"Accountant, chartered",FJD
Animal technologist,USD
Physiological scientist,BYR
"Designer, television/film set",INR
"Surveyor, quantity",PGK
Toxicologist,PEN
English as a foreign language teacher,GNF
Public affairs consultant,LAK
Clinical research associate,CHF
"Teacher, early years/pre",ALL
Visual merchandiser,SLL
"Buyer, industrial",IRR
"Editor, film/video",HNL
"Journalist, magazine",XAF
Corporate investment banker,BOB
"Psychologist, educational",GIP
Physiological scientist,BOB
Learning disability nurse,AMD
"Education officer, environmental",AWG
"Research officer, government",MGA
Illustrator,AED
Chiropractor,RON
Adult guidance worker,XDR
Telecommunications researcher,KRW
"Surveyor, mining",KMF
Tourism officer,CRC
Midwife,XPF
Teaching laboratory technician,XDR
Adult guidance worker,TND
Haematologist,TOP
Barista,CUP
Dentist,HKD
Personal assistant,GNF
Meteorologist,CZK
"Administrator, Civil Service",PAB
Curator,JMD
"Administrator, sports",LBP
Psychiatrist,ETB
"Lighting technician, broadcasting/film/video",CZK
Farm manager,UYU
Chief of Staff,DKK
Trade union research officer,BZD
Scientific laboratory technician,LTL
Architect,ERN
"Research officer, political party",NIO
Intelligence analyst,CLP
Geophysical data processor,CZK
Furniture designer,HRK
"Pilot, airline",VEF
Academic librarian,BND
IT sales professional,VND
Geoscientist,KZT
Primary school teacher,CUP
Data processing manager,KPW
Waste management officer,GTQ
"Engineer, broadcasting (operations)",TZS
"Conservator, museum/gallery",RUB
Risk manager,ZMW
Leisure centre manager,NAD
Architectural technologist,GYD
Educational psychologist,GBP
Claims inspector/assessor,JPY
Patent attorney,PHP
"Radiographer, therapeutic",XAF
"Engineer, water",PLN
Futures trader,DKK
Bonds trader,SGD
Information systems manager,SLL
Pathologist,TRY
Advice worker,UYU
Wellsite geologist,MAD
"Conservation officer, historic buildings",GIP
Insurance claims handler,UYU
Senior tax professional/tax inspector,GBP
Freight forwarder,MRO
"Production assistant, television",MMK
Estate agent,JPY
Research scientist (maths),EGP
Senior tax professional/tax inspector,LAK
"Engineer, chemical",DKK
Ranger/warden,MKD
"Production assistant, television",AFN
Environmental consultant,MVR
Graphic designer,BWP
Medical laboratory scientific officer,SCR
Higher education careers adviser,BMD
Tour manager,UGX
Trading standards officer,CAD
Archivist,BRL
"Surveyor, planning and development",JPY
"Teacher, music",XCD
Science writer,PHP
Professor Emeritus,BMD
Medical secretary,PEN
Sales promotion account executive,NIO
Commercial/residential surveyor,TND
International aid/development worker,LKR
Dentist,XDR
"Designer, furniture",HUF
Product manager,SYP
Podiatrist,DOP
"Designer, ceramics/pottery",BND
Museum education officer,NAD
"Scientist, research (maths)",BSD
Travel agency manager,PAB
Pensions consultant,XDR
Freight forwarder,LKR
Comptroller,MKD
"Editor, commissioning",KGS
Outdoor activities/education manager,KHR
Sales executive,BMD
IT sales professional,SPL
Chartered legal executive (England and Wales),STD
Nutritional therapist,DZD
Higher education lecturer,DKK
Research scientist (medical),BIF
Marine scientist,CZK
"Engineer, petroleum",RUB
Public affairs consultant,BMD
Film/video editor,PLN
Learning mentor,BTN
Tourism officer,TND
"Psychologist, prison and probation services",ISK
Physiotherapist,HKD
Public relations account executive,JOD
Prison officer,HNL
Minerals surveyor,AUD
Insurance claims handler,BGN
"Doctor, general practice",RSD
Audiological scientist,RSD
"Merchandiser, retail",XOF
Lobbyist,RSD
"Designer, textile",VEF
Mechanical engineer,ZAR
Herbalist,MNT
Financial trader,GNF
Archaeologist,KGS
Volunteer coordinator,ISK
Dealer,GTQ
Environmental health practitioner,COP
Tourist information centre manager,ERN
Senior tax professional/tax inspector,YER
Fine artist,BRL
Patent attorney,SBD
Metallurgist,RWF
Environmental manager,MOP
Control and instrumentation engineer,JMD
Event organiser,TTD
Site engineer,DKK
"Solicitor, Scotland",AUD
IT sales professional,KYD
"Psychologist, educational",MKD
Chartered public finance accountant,FJD
"Accountant, chartered management",PAB
Press sub,MOP
Neurosurgeon,UZS
Television camera operator,MAD
Barrister's clerk,AFN
Photographer,SYP
Research scientist (maths),SVC
"Sales professional, IT",PEN
Clinical cytogeneticist,INR
Amenity horticulturist,XCD
Charity officer,MAD
Electrical engineer,KES
"Engineer, aeronautical",SRD
Environmental manager,TND
Quarry manager,MAD
"Civil engineer, contracting",SYP
Management consultant,JMD
Pension scheme manager,SGD
Professor Emeritus,PKR
"Research officer, trade union",TOP
Town planner,LSL
"Accountant, chartered certified",KGS
"Scientist, forensic",GBP
Research scientist (medical),IQD
Publishing copy,MUR
Sales executive,PHP
Financial risk analyst,SYP
Physiotherapist,STD
"Programme researcher, broadcasting/film/video",HUF
"Scientist, research (life sciences)",BZD
Hydrographic surveyor,BZD
"Designer, jewellery",FJD
Games developer,BZD
"Buyer, retail",JEP
Radio producer,AED
Quality manager,CVE
"Therapist, nutritional",MXN
Probation officer,LYD
"Designer, industrial/product",GBP
Animal nutritionist,MWK
"Therapist, drama",BDT
Adult guidance worker,LRD
"Accountant, chartered",CVE
Clinical embryologist,BIF
Paediatric nurse,SYP
Public relations account executive,KZT
Print production planner,IMP
Archivist,PEN
Fitness centre manager,JPY
Patent attorney,ARS
"Production assistant, radio",BND
Outdoor activities/education manager,KRW
Aid worker,RSD
Physiotherapist,MNT
Office manager,ERN
Nature conservation officer,JPY
Heritage manager,XCD
Community education officer,RSD
"Administrator, charities/voluntary organisations",NPR
Leisure centre manager,MVR
Education administrator,DKK
Jewellery designer,NPR
Secretary/administrator,ANG
Teaching laboratory technician,HTG
"Designer, fashion/clothing",ALL
"Designer, graphic",PHP
"Civil engineer, contracting",PGK
"Teacher, secondary school",ERN
Logistics and distribution manager,IMP
Community pharmacist,JEP
IT technical support officer,BGN
Software engineer,AWG
Animal technologist,TJS
Multimedia specialist,GIP
"Education officer, environmental",CUC
"Scientist, marine",SPL
Engineering geologist,IRR
Newspaper journalist,PHP
Production engineer,SBD
"Scientist, audiological",FKP
Charity officer,ETB
Building surveyor,GGP
Field seismologist,GMD
"Education officer, environmental",ZMW
Public house manager,SBD
IT consultant,SAR
Comptroller,BDT
Aid worker,MUR
Training and development officer,KHR
"Engineer, electrical",TTD
Field trials officer,NZD
Horticultural consultant,ETB
Personal assistant,MXN
Neurosurgeon,LRD
Arboriculturist,VUV
Teaching laboratory technician,AFN
Warden/ranger,BHD
Barrister's clerk,HRK
Exhibition designer,CZK
Tree surgeon,BIF
Materials engineer,PLN
"Therapist, nutritional",AUD
Fashion designer,TTD
Museum education officer,IRR
"Scientist, research (medical)",YER
Media buyer,XOF
"Editor, magazine features",JMD
Water engineer,SLL
Advertising account planner,BGN
"Programmer, applications",BDT
Wellsite geologist,BOB
"Merchandiser, retail",VEF
Aeronautical engineer,CAD
Investment analyst,QAR
Landscape architect,IRR
Radio broadcast assistant,BSD
"Programme researcher, broadcasting/film/video",OMR
Neurosurgeon,RON
"Accountant, chartered public finance",AUD
Manufacturing systems engineer,NZD
Estate manager/land agent,HNL
"Scientist, water quality",AOA
Insurance underwriter,KES
Research scientist (physical sciences),SDG
"Scientist, forensic",SCR
Ambulance person,TVD
Community arts worker,PHP
Tax inspector,LKR
Television camera operator,TJS
"Geologist, engineering",BSD
Commercial horticulturist,WST
Trade mark attorney,GGP
Editorial assistant,VND
Occupational psychologist,KYD
Radio broadcast assistant,LKR
Publishing copy,BBD
Armed forces operational officer,CVE
Manufacturing systems engineer,BMD
Consulting civil engineer,BBD
"Teacher, music",MAD
Curator,RUB
Accounting technician,TVD
"Optician, dispensing",MWK
Nature conservation officer,BDT
Bookseller,ZAR
Holiday representative,MGA
Data scientist,BYR
Fitness centre manager,KPW
Chemical engineer,CZK
Land/geomatics surveyor,PEN
Accounting technician,LSL
Furniture designer,LSL
English as a foreign language teacher,CUC
Copy,TJS
Outdoor activities/education manager,IRR
Chartered accountant,MDL
Musician,TVD
Landscape architect,BSD
Haematologist,MYR
"Buyer, retail",TZS
"Lecturer, higher education",KGS
Broadcast engineer,ISK
Software engineer,BAM
Dispensing optician,ANG
"Surveyor, building",WST
Sales promotion account executive,XCD
Higher education lecturer,CVE
Veterinary surgeon,HNL
Chief Financial Officer,LKR
Public affairs consultant,DKK
Tourism officer,MOP
Academic librarian,MUR
"Conservator, museum/gallery",BOB
"Designer, ceramics/pottery",UYU
Musician,PAB
Town planner,MOP
Telecommunications researcher,NPR
Armed forces operational officer,IQD
Barrister,MGA
"Producer, television/film/video",ALL
"Psychologist, sport and exercise",BAM
Chartered accountant,NOK
"Engineer, maintenance (IT)",GGP
"Surveyor, hydrographic",DKK
Special effects artist,SYP
"Therapist, horticultural",MDL
"Engineer, building services",LKR
General practice doctor,TOP
Police officer,IDR
Education administrator,HTG
Make,DKK
Broadcast journalist,RWF
Building services engineer,AED
Public affairs consultant,KES
Armed forces logistics/support/administrative officer,ILS
"Teacher, music",JEP
Industrial/product designer,UZS
"Designer, jewellery",TND
Newspaper journalist,BHD
Animal technologist,DJF
Musician,ALL
Quality manager,JOD
"Scientist, biomedical",AWG
Exhibition designer,XOF
Quality manager,CUP
"Restaurant manager, fast food",CAD
Medical secretary,XOF
Further education lecturer,SRD
Child psychotherapist,KWD
Records manager,LKR
Forensic scientist,HTG
Clinical molecular geneticist,BYR
Chartered legal executive (England and Wales),GEL
Special effects artist,MUR
"Journalist, magazine",DKK
Community education officer,LYD
Field trials officer,DZD
Equities trader,BWP
Interpreter,TOP
Historic buildings inspector/conservation officer,AUD
Estate agent,TWD
Print production planner,VND
Press photographer,PEN
Diagnostic radiographer,GGP
"Radiographer, therapeutic",PHP
Printmaker,UGX
Operational researcher,GGP
Hospital doctor,USD
Armed forces technical officer,HTG
Museum/gallery curator,MMK
Hospital pharmacist,GNF
Probation officer,UAH
Photographer,LYD
Forensic scientist,JOD
"Therapist, music",EGP
Chief Strategy Officer,UAH
Jewellery designer,CHF
Airline pilot,MXN
Chartered management accountant,MXN
Illustrator,KRW
Charity fundraiser,UAH
"Accountant, chartered certified",SCR
"Scientist, clinical (histocompatibility and immunogenetics)",SLL
"Engineer, maintenance",MAD
Chartered certified accountant,BOB
Mudlogger,IQD
Travel agency manager,AOA
Ranger/warden,BGN
"Buyer, retail",ZMW
"Journalist, magazine",BBD
Armed forces logistics/support/administrative officer,GEL
Engineering geologist,GIP
Data scientist,SGD
"Merchandiser, retail",ISK
Video editor,MGA
Technical author,SYP
"Production assistant, radio",KZT
Clinical psychologist,NGN
Police officer,DZD
Clinical psychologist,ALL
Haematologist,NZD
Naval architect,EGP
TEFL teacher,JPY
Physiotherapist,CVE
English as a second language teacher,SEK
Probation officer,JPY
Toxicologist,FKP
Operational researcher,KGS
Chartered management accountant,BMD
Medical secretary,MVR
"Geologist, engineering",HKD
Sports administrator,HUF
Amenity horticulturist,MGA
Copy,SCR
"Horticulturist, amenity",AMD
Higher education lecturer,XCD
Special educational needs teacher,ZMW
Photographer,PAB
Theme park manager,RUB
Forest/woodland manager,SCR
"Engineer, production",FJD
Warden/ranger,EUR
Risk analyst,ZMW
"Surveyor, mining",ZWD
Hospital pharmacist,LTL
Animal nutritionist,KZT
Minerals surveyor,GBP
"Librarian, academic",MYR
Risk analyst,PHP
Outdoor activities/education manager,XDR
Technical author,BYR
Arts development officer,MUR
"Psychologist, counselling",JMD
Occupational hygienist,PYG
Higher education lecturer,MDL
Production manager,GIP
"Engineer, civil (consulting)",CHF
Medical technical officer,VEF
"Programme researcher, broadcasting/film/video",LAK
Mental health nurse,MXN
Higher education careers adviser,NOK
Phytotherapist,IRR
Outdoor activities/education manager,GYD
"Conservator, museum/gallery",AUD
"Designer, television/film set",TMT
Chartered loss adjuster,AZN
Rural practice surveyor,KRW
"Biochemist, clinical",FJD
Ergonomist,ILS
Games developer,CUC
"Psychologist, forensic",SOS
Arts development officer,LKR
Retail manager,NIO
"Designer, interior/spatial",BZD
Private music teacher,RWF
Museum/gallery conservator,GBP
Water quality scientist,CHF
Production manager,MWK
Dealer,BMD
Electrical engineer,TTD
Local government officer,KHR
Hotel manager,ZAR
"Psychotherapist, dance movement",CUP
Minerals surveyor,GIP
"Social research officer, government",XOF
"Production designer, theatre/television/film",NAD
Textile designer,SVC
Translator,SLL
Interpreter,ALL
Bonds trader,SOS
"Psychotherapist, dance movement",GHS
"Nurse, mental health",BYR
Air traffic controller,RWF
Medical technical officer,ETB
Advice worker,AZN
Pharmacologist,HTG
Museum/gallery exhibitions officer,IMP
"Scientist, research (maths)",KWD
"Investment banker, operational",RWF
Special educational needs teacher,DJF
Health visitor,JMD
Community education officer,TOP
"Editor, film/video",JPY
Market researcher,XCD
"Civil engineer, consulting",GGP
Chartered certified accountant,TVD
Media buyer,MNT
"Nurse, children's",PYG
Public affairs consultant,FJD
Commercial/residential surveyor,RWF
Trading standards officer,SVC
Arts development officer,TZS
Site engineer,KRW
"Scientist, biomedical",XDR
Aeronautical engineer,BIF
Legal executive,VEF
Plant breeder/geneticist,JMD
Management consultant,PKR
Estate agent,KGS
"Restaurant manager, fast food",JMD
Mining engineer,CNY
Advertising account executive,AED
Theatre stage manager,IMP
Architect,ZWD
Telecommunications researcher,PYG
Insurance claims handler,GMD
Geophysical data processor,CVE
"Designer, interior/spatial",TZS
Public relations account executive,OMR
Art gallery manager,ISK
"Engineer, petroleum",KMF
Air cabin crew,GTQ
Research scientist (life sciences),PHP
Speech and language therapist,HNL
"Programmer, multimedia",NZD
"Teacher, English as a foreign language",XOF
Energy engineer,NIO
Lawyer,SRD
Licensed conveyancer,LKR
Architect,MXN
Insurance underwriter,ZAR
"Merchandiser, retail",SDG
"Engineer, land",ALL
"Psychotherapist, child",PYG
Transport planner,ZAR
"Producer, radio",TZS
Diagnostic radiographer,SBD
"Engineer, land",SHP
Health physicist,BMD
"Accountant, chartered management",SAR
"Surveyor, commercial/residential",BAM
Retail manager,PHP
Location manager,AMD
Herpetologist,WST
"Engineer, building services",CUC
"Presenter, broadcasting",BDT
"Civil engineer, consulting",MMK
Medical sales representative,HUF
Hospital doctor,HNL
"Pharmacist, community",MVR
"Therapist, horticultural",GNF
Secretary/administrator,STD
Estate manager/land agent,OMR
Midwife,GTQ
"Designer, television/film set",MGA
Chief Financial Officer,SPL
Public affairs consultant,RON
Community development worker,MOP
"Engineer, aeronautical",MDL
Trade mark attorney,ZAR
"Editor, film/video",CUP
Air broker,BRL
Sport and exercise psychologist,ISK
Materials engineer,BND
Web designer,IDR
Air cabin crew,UGX
Homeopath,PYG
"Therapist, nutritional",MNT
"Editor, magazine features",MGA
Accounting technician,IDR
"Programmer, systems",AMD
"Secretary, company",BIF
Restaurant manager,SCR
Charity fundraiser,TZS
"Designer, interior/spatial",GBP
Higher education lecturer,IQD
Nature conservation officer,CRC
Legal executive,MUR
TEFL teacher,SOS
Early years teacher,LTL
Commercial/residential surveyor,FKP
"Librarian, academic",AED
Technical sales engineer,UZS
Tax inspector,BWP
"Designer, blown glass/stained glass",BYR
Event organiser,PYG
Public affairs consultant,UYU
Financial risk analyst,JMD
Clinical biochemist,XOF
Government social research officer,KZT
Animal nutritionist,AUD
Ranger/warden,JMD
Location manager,ARS
Systems analyst,JOD
Media planner,LTL
"Civil engineer, consulting",JPY
"Scientist, biomedical",BBD
"Horticulturist, amenity",MGA
Camera operator,KRW
"Nurse, adult",BWP
"Physicist, medical",KMF
Broadcast presenter,GHS
IT consultant,CZK
Advertising account executive,BAM
"Therapist, music",KMF
Higher education lecturer,MVR
"Nurse, adult",RUB
Careers adviser,TND
Forest/woodland manager,PAB
Legal executive,LRD
Hospital doctor,CHF
Psychotherapist,BSD
Health service manager,BYR
Musician,JPY
"Lighting technician, broadcasting/film/video",MGA
Press sub,KZT
Commercial/residential surveyor,MGA
Equality and diversity officer,MVR
"Psychologist, clinical",NZD
Database administrator,IMP
Administrator,JMD
"Psychotherapist, child",ALL
"Engineer, broadcasting (operations)",GIP
Social researcher,KES
"Administrator, arts",GGP
"Engineer, electronics",PEN
Clothing/textile technologist,KZT
"Producer, radio",JOD
Equities trader,GNF
Estate manager/land agent,CVE
Software engineer,UAH
International aid/development worker,XCD
Cytogeneticist,WST
Passenger transport manager,SLL
Bookseller,KES
"Doctor, general practice",RUB
Printmaker,NIO
Armed forces technical officer,BRL
Paediatric nurse,STD
Counselling psychologist,AWG
"Producer, radio",UGX
Clinical biochemist,UGX
"Producer, television/film/video",KHR
Dealer,CZK
Mudlogger,SDG
Educational psychologist,GIP
Fine artist,KYD
Proofreader,GTQ
Accounting technician,KHR
"Accountant, chartered",UGX
Youth worker,LKR
Advertising account executive,MXN
"Nurse, children's",MVR
Advice worker,PLN
Special effects artist,SLL
Contractor,DOP
Armed forces logistics/support/administrative officer,EUR
International aid/development worker,HTG
Metallurgist,DJF
Visual merchandiser,VEF
Medical secretary,YER
Management consultant,RWF
Phytotherapist,NOK
Chiropractor,GBP
Control and instrumentation engineer,JEP
Acupuncturist,ETB
"Clinical scientist, histocompatibility and immunogenetics",KYD
Environmental consultant,MUR
Sports coach,EUR
Catering manager,GYD
Hospital pharmacist,UGX
Logistics and distribution manager,MKD
Community pharmacist,ERN
Adult nurse,BYR
Administrator,MVR
Toxicologist,PLN
Further education lecturer,XPF
Administrator,NIO
Phytotherapist,SVC
"Radiographer, therapeutic",ARS
"Administrator, arts",TRY
Learning mentor,NGN
Arts administrator,MKD
Air traffic controller,TMT
Multimedia specialist,RSD
Exercise physiologist,UAH
Barista,IMP
"Engineer, biomedical",IRR
"Radiographer, diagnostic",SZL
Community arts worker,RWF
Building services engineer,CUC
Podiatrist,ZAR
Town planner,XDR
"Surveyor, commercial/residential",CLP
Insurance broker,CAD
Hydrogeologist,MKD
Early years teacher,LBP
Proofreader,PAB
Field seismologist,TRY
Aeronautical engineer,RUB
Insurance broker,HRK
Quality manager,PLN
"Engineer, structural",CNY
Chief of Staff,UAH
Early years teacher,VND
Logistics and distribution manager,XPF
"Education officer, museum",AED
"Scientist, product/process development",MRO
Meteorologist,PGK
Civil Service fast streamer,TZS
Police officer,LYD
Furniture conservator/restorer,SVC
"Accountant, chartered certified",LRD
International aid/development worker,BIF
Recruitment consultant,KMF
"Administrator, arts",SBD
Sports therapist,MOP
Set designer,MUR
Health physicist,ARS
"Production assistant, radio",ARS
Medical secretary,GHS
Equality and diversity officer,AUD
"Geologist, engineering",DZD
Production engineer,UGX
Clinical research associate,YER
"Accountant, chartered public finance",CHF
Copy,RON
Chartered management accountant,SPL
Banker,ILS
Cytogeneticist,MWK
Data scientist,WST
Writer,KPW
Teaching laboratory technician,KHR
"Engineer, structural",CZK
Visual merchandiser,SLL
"Civil engineer, consulting",UYU
Orthoptist,TMT
"Civil engineer, contracting",TTD
Astronomer,GIP
Electrical engineer,UAH
Print production planner,BYR
Aid worker,KES
Engineering geologist,GNF
"Designer, fashion/clothing",MXN
"Sound technician, broadcasting/film/video",KZT
Data scientist,UYU
Network engineer,COP
Network engineer,IRR
Television floor manager,DZD
"Optician, dispensing",RUB
"Merchandiser, retail",RWF
Chemical engineer,MDL
Counselling psychologist,GNF
Cartographer,LAK
Printmaker,JMD
Chartered management accountant,STD
"Engineer, petroleum",XAF
Hydrographic surveyor,AFN
Environmental education officer,MRO
"Scientist, research (physical sciences)",CDF
Research scientist (medical),AFN
"Nurse, learning disability",GTQ
Arts development officer,ERN
Technical author,SLL
